id,Attr47,Attr57,Attr23,Attr43,Attr29,Attr41,Attr34,Attr55,Attr32,Attr45,Attr58,Attr52,Attr61,Attr44,Attr59,Attr5,Attr12,Attr60,Attr15,Attr28,Attr53,Attr64,Attr1,Attr2,Attr3,Attr6,Attr9,Attr11,Attr22,Attr24,Attr25,Attr35,Attr36,Attr38,Attr48,Attr51,Attr8,Attr16,Attr50,Attr4,Attr33,Attr40,Attr46,Attr13,Attr19,Attr62,class
18,36.686,0.037342,0.014863,65.719,4.4729,0.080697,0.22679,12841.0,42.004,0.14973,0.98763,0.11508,12.378,29.487,0.036647,47.935,0.185,10.074,1059.3,1.2244,2.1304,5.3523,0.028084,0.24231,0.43224,0.021598,1.0125,0.039729,0.054953,0.03447,0.75206,0.054953,1.9341,0.77962,0.011187,0.21475,3.1037,0.34458,2.6701,3.0128,8.6896,1.4286,2.1394,0.04419,0.021027,41.485,0
22,113.58,0.96115,-0.36596,303.57,4.5134,-0.13239,-0.2667,-9531.1,344.98,-0.90598,1.2981,0.94515,2.3377,156.13,-0.72353,-214.91,-0.29829,2.4756,-1620.6,-1.0841,-1.1775,3.0925,-0.30505,1.2523,-0.29222,-0.30505,0.77037,-0.30505,-0.33399,-0.30505,-0.31738,-0.33399,0.87221,-0.087747,-0.35698,1.0227,-0.25344,-0.22523,0.58328,0.71426,1.058,0.036354,0.38501,-0.33838,-0.36596,447.81,0
26,62.571,0.13107,0.045676,94.991,4.407,0.059204,0.3543,8200.8,47.948,0.28127,0.9473,0.13137,10.219,35.718,0.035588,8.1087,0.31987,6.1579,742.04,0.69713,1.3245,3.8007,0.079997,0.23967,0.32124,0.20743,1.0556,0.069715,0.084917,0.2369,0.61034,0.084917,1.7847,0.63206,0.03674,0.21795,2.5466,0.49189,2.2497,2.4739,7.6124,0.3826,1.169,0.067313,0.039805,45.422,0
28,60.336,0.31385,0.2209,136.01,4.5087,0.013675,2.1717,19993.0,58.882,1.7956,0.74422,0.16132,4.0062,91.108,0.0,198.95,2.2448,8.1287,147.34,2.6127,3.5393,5.0286,0.26345,0.14318,0.61965,0.55971,1.3437,0.32142,0.31094,0.69419,0.8394,0.31094,1.2094,0.8394,0.27765,0.14318,5.8624,2.4773,5.3277,5.3277,6.1989,2.2239,4.303,0.29742,0.26951,43.821,0
29,71.596,-0.78648,-0.072298,192.85,4.7985,-1.2558,-0.067726,-1693.2,209.3,-0.3402,1.0834,0.57343,3.1662,115.28,6.6114,-87.724,-0.11637,4.7055,-21123.0,-0.048297,0.12457,1.3551,-0.054623,0.92857,-0.026927,-0.054623,0.92301,-0.054623,-0.062889,-0.054623,0.069453,-0.062889,0.78894,0.52863,-0.10147,0.46939,0.074796,-0.017279,0.4765,0.94263,1.7439,0.092184,0.60056,-0.021237,-0.072298,226.76,0
30,39.499,2.8666,-0.22455,72.377,4.0712,-0.26764,-0.17151,-5487.2,191.81,-2.0159,1.0293,0.5255,11.507,31.721,-2.019,-152.21,-0.41514,8.9776,-1339.2,-0.77447,-0.20815,2.6572,-0.35884,1.1171,-0.46577,-1.1752,0.97154,-0.35884,-0.1916,-0.82224,-0.12518,-0.1916,1.6321,0.12756,-0.24597,0.86437,-0.11206,-0.27255,0.35682,0.46115,1.903,0.094543,0.25521,-0.19052,-0.22455,197.43,0
31,19.046,0.16872,0.065225,73.238,4.7376,0.057078,0.45993,4225.5,65.098,1.3507,0.92548,0.17835,6.5633,55.612,0.050368,-2.921,0.4909,20.708,657.45,0.11656,0.91566,2.3686,0.10248,0.28993,0.07732,0.22034,1.0805,0.12731,0.13335,0.27078,0.60739,0.13335,1.5958,0.63799,0.099694,0.25934,2.095,0.55517,1.1612,1.2981,5.6069,0.082504,1.0056,0.10245,0.081028,60.247,0
32,61.692,0.57654,0.054902,105.19,4.383,0.19135,0.15986,8185.6,79.276,0.34132,0.95167,0.21719,7.8531,46.479,0.92116,-11.094,0.26562,6.217,1839.4,2.5933,1.8704,19.641,0.1409,0.7556,0.33886,0.36762,1.0508,0.1409,0.12079,0.36762,0.2444,0.12079,2.6197,0.46952,0.11175,0.53048,0.32344,0.19844,1.1505,1.6388,4.6042,0.24451,0.86058,0.058424,0.054902,75.444,0
34,88.458,0.002635,0.000805,124.54,4.0949,0.43228,-0.013789,2504.7,88.272,0.003291,1.0092,0.24184,10.348,35.272,0.34583,-44.797,0.007405,4.0888,3841.6,0.47025,1.0838,3.5477,0.001222,0.53108,0.2013,0.042436,0.99091,0.002745,-0.007323,0.056723,0.46393,-0.007323,1.5498,0.62437,-0.055037,0.37064,0.87355,0.095012,1.0769,1.5431,4.135,0.14504,0.541,0.033226,0.001807,89.081,0
35,49.32,0.057565,0.005208,80.637,4.2688,3.0806,-0.024522,-1116.6,90.819,0.038276,1.007,0.24882,11.785,30.972,0.56857,-58.08,0.019544,7.3493,7099.8,-0.13954,0.52728,5.828,0.013079,0.75841,-0.060128,0.069955,0.99307,0.012298,-0.018598,0.083487,0.22721,-0.018598,2.5558,0.35639,-0.04529,0.62923,0.29958,0.05141,0.75038,0.90444,4.019,0.022714,0.36138,0.015526,0.004897,91.453,0
36,19.414,0.25246,0.065299,140.06,4.7881,0.14571,0.18051,10781.0,142.21,1.3202,0.92991,0.38962,2.9916,122.01,0.050582,-1.2568,0.21423,20.218,1449.1,0.64973,1.4638,5.6592,0.099873,0.57415,0.1756,0.30824,1.0754,0.11871,0.10364,0.37667,0.3956,0.10364,1.5671,0.41561,0.07773,0.55414,0.68902,0.25189,1.271,1.3169,2.5666,0.25778,1.1804,0.094556,0.077616,132.24,0
39,74.054,0.25214,0.13122,143.4,5.4345,0.019131,1.4848,153370.0,50.064,0.78048,0.82865,0.13716,4.4495,82.031,0.0,87.51,1.4386,5.9481,218.26,2.1653,3.0883,5.9345,0.20279,0.17566,0.56391,0.60033,1.2068,0.25271,0.26083,0.7494,0.80429,0.26083,1.5621,0.80429,0.21978,0.17566,4.5786,1.6723,4.2102,4.2102,7.2906,0.75371,2.731,0.19007,0.16352,41.486,0
40,96.613,0.16383,0.097151,162.87,4.7806,0.021601,1.2146,32139.0,44.581,0.42019,0.87349,0.12214,4.6511,78.476,0.0,66.835,1.1392,4.3251,252.32,1.6567,2.5229,4.2544,0.13287,0.14592,0.5326,0.41226,1.1448,0.16623,0.17723,0.51315,0.81107,0.17723,1.3797,0.81107,0.13237,0.14592,5.5583,1.4466,4.65,4.65,8.1873,0.46763,2.4829,0.15434,0.12154,38.942,0
42,52.008,0.14027,0.012301,65.418,4.7518,0.14601,0.15543,4230.4,61.954,0.088244,0.97833,0.16974,25.109,14.537,0.0,-44.598,0.095349,7.1736,2211.0,0.25107,1.1093,12.649,0.046426,0.62672,0.074912,0.18433,1.0222,0.059757,0.097408,0.23448,0.33098,0.097408,3.8294,0.33098,0.053703,0.62672,0.52811,0.16509,1.1195,1.1195,5.8915,0.040222,0.28006,0.027414,0.015834,60.611,0
43,3.6163,0.057737,0.049271,51.822,4.9797,0.080611,0.20142,-8531.9,111.84,5.3373,0.93176,0.30642,7.5331,48.453,0.07495,-59.217,0.22485,108.33,935.61,-0.10012,0.65754,0.77052,0.033901,0.24045,-0.089401,0.026188,1.0732,0.044169,0.048431,0.03543,0.58716,0.048431,0.69802,0.63116,-0.001204,0.19644,2.4419,0.39012,0.44517,0.54489,3.2635,0.047609,0.51256,0.13633,0.064195,104.21,0
44,21.867,-1.0145,-0.033958,122.3,4.6239,-0.9616,-0.074426,-4118.3,135.58,-0.55171,1.0274,0.37144,3.6562,99.831,0.0,-37.659,-0.088985,16.247,-7487.4,-0.5101,0.41402,12.368,-0.080617,0.90597,-0.097908,-0.28903,0.97332,-0.080617,-0.067427,-0.28903,0.079467,-0.067427,2.3868,0.079467,-0.10388,0.90597,0.087716,-0.048749,0.89193,0.89193,2.6922,0.013933,0.73064,-0.018603,-0.033958,139.29,0
47,146.9,2.0455,-0.077341,246.44,4.3396,-1.5488,-0.065524,1244.7,215.37,-0.17828,1.0779,0.59005,4.1432,88.095,-8.8199,-132.7,-0.1216,2.3052,-10288.0,0.20977,-0.14707,3.8899,-0.081668,1.0237,0.056945,-0.081668,0.92774,-0.081668,-0.067079,-0.081668,-0.039925,-0.067079,1.1121,0.31221,-0.11243,0.67159,-0.039,-0.035478,0.71165,1.0848,1.6948,0.023221,0.40271,-0.034396,-0.077341,232.14,0
49,14.345,-1.5332,-0.063429,53.874,3.8841,-0.096672,-0.43172,1313.6,53.072,-1.5026,1.0741,0.1454,9.489,38.466,0.0,1.1042,-0.42602,23.689,-1091.6,0.63696,0.55001,13.295,-0.2271,0.55916,0.17154,-0.3787,0.93102,-0.23821,-0.2414,-0.35737,0.14812,-0.2414,3.7273,0.14812,-0.29264,0.55916,0.2649,-0.33438,1.3068,1.3068,6.8775,0.36169,1.0365,-0.052223,-0.066534,57.004,0
50,58.697,0.41588,0.08492,148.79,4.4184,0.070309,0.42074,8079.5,113.58,0.59716,0.88429,0.31118,3.7674,96.884,0.01376,3.4455,0.40125,7.0321,821.97,2.2975,3.0823,15.095,0.17203,0.56315,0.30834,0.54039,1.1308,0.22368,0.23694,0.68577,0.41366,0.23694,2.0503,0.41935,0.21055,0.55746,0.73455,0.44405,1.5374,1.5531,3.2136,0.071723,1.0363,0.12344,0.11041,100.44,0
51,42.224,-0.049123,-0.051525,205.7,5.025,0.048809,-0.5141,65262.0,33.757,-0.43419,1.0258,0.092486,2.2478,162.38,0.0,175.55,-0.46603,8.4268,505.79,2.0305,2.9336,2.7968,-0.043723,0.080508,0.61608,-0.021103,0.97484,-0.037519,-0.041389,0.010629,0.89008,-0.041389,0.92181,0.89008,-0.13701,0.080508,11.056,0.72164,8.6524,8.6524,10.812,2.7124,7.4016,0.068465,-0.044214,34.629,0
53,0.81039,-0.003533,-0.004161,46.036,5.1479,2.4944,0.008537,1679.0,456.72,-1.968,0.95238,1.2513,8.0637,45.265,0.0027,-29.76,0.000241,472.92,74730.0,0.024528,1.0173,0.8636,-0.00175,0.50246,0.011944,0.031605,1.05,0.000121,0.004289,0.053671,0.49535,0.004289,0.44782,0.49669,0.001956,0.50112,0.98586,0.004884,1.0211,1.0238,0.79918,0.918,1.0221,0.005836,0.000288,434.97,0
55,24.594,0.29925,0.080863,87.741,3.1746,0.092276,0.34397,581.63,77.799,1.3053,0.91942,0.21315,5.6043,65.129,0.29393,58.226,0.49291,16.142,1005.3,1.5441,1.9646,7.2705,0.14813,0.50448,0.38905,0.19262,1.0876,0.17695,0.17353,0.28439,0.49499,0.17353,1.874,0.64049,0.16731,0.35899,0.98119,0.36307,1.4828,2.0837,4.6916,0.85711,1.7676,0.09999,0.096598,71.53,0
56,9.3205,0.35716,0.07818,58.583,4.5752,0.039256,0.75993,10900.0,42.675,3.1793,0.96299,0.11692,7.3578,49.607,0.027593,26.737,0.82549,40.666,423.91,0.71207,1.4473,6.6119,0.21043,0.31931,0.28987,0.22662,1.0384,0.25016,0.24265,0.26635,0.58916,0.24265,2.898,0.60542,0.21788,0.30305,1.8451,0.86103,1.8569,1.9565,8.553,0.53101,1.7381,0.10215,0.092942,41.096,0
57,5.2837,0.38453,0.17176,159.2,4.5365,0.05895,0.53043,4835.0,156.08,13.185,0.8999,0.42762,2.3632,154.45,0.11688,44.573,0.57608,76.765,682.83,0.33157,1.1922,2.669,0.19437,0.49453,0.14058,0.23399,1.1112,0.25086,0.26231,0.31098,0.50547,0.26231,1.3605,0.56455,0.24882,0.43545,1.0221,0.53454,1.1648,1.3228,2.3385,0.18936,1.289,0.23361,0.22169,140.46,0
58,10.674,0.085911,0.044314,93.54,4.9925,0.12731,0.21082,47450.0,72.534,1.5616,0.97038,0.19872,4.388,83.182,0.0,109.9,0.30434,35.24,1037.6,1.8224,2.5484,4.9406,0.057995,0.25237,0.48274,0.12024,1.0305,0.076807,0.053205,0.14223,0.67506,0.053205,1.3713,0.67506,0.041235,0.25237,2.6748,0.35176,2.9128,2.9128,5.0321,1.5838,2.7656,0.067834,0.058688,70.386,0
62,92.444,0.15903,0.16241,183.22,4.49,0.014868,1.8943,17874.0,48.52,0.80192,0.79965,0.13293,3.3397,109.29,0.0,210.57,1.914,4.9376,163.61,1.7671,2.7671,2.7094,0.14403,0.09427,0.57841,0.45851,1.2506,0.18043,0.17858,0.5701,0.90573,0.17858,0.89785,0.90573,0.14869,0.09427,9.6078,2.2309,7.1356,7.1356,7.5227,2.4134,5.2303,0.23715,0.20345,38.799,0
71,215.85,0.70522,0.079615,224.81,3.519,0.16252,1.0289,657.16,312.73,0.23613,0.68375,0.85679,3.5874,101.75,0.0,-165.39,0.16298,2.9659,1046.5,2.8943,2.4628,21.816,0.11936,0.83075,0.19891,0.0,1.4992,0.14191,0.0,0.0,0.13899,0.010601,1.4992,0.16925,-0.17038,0.73237,0.20374,0.34878,1.121,1.2716,1.1671,0.010738,0.58138,0.19326,0.079615,178.3,0
72,33.038,0.089521,0.039336,72.449,4.0754,0.044496,0.49498,3078.0,41.933,0.46113,0.94243,0.11489,8.8349,41.313,0.005149,24.998,0.47002,11.723,518.25,0.46637,1.3636,3.1034,0.06773,0.19032,0.25875,0.18519,1.0611,0.087624,0.094205,0.23996,0.75658,0.094205,1.736,0.76047,0.047786,0.18643,3.9752,0.7043,2.3391,2.388,8.7043,0.55469,1.6001,0.077849,0.05089,39.519,0
73,8.7631,-0.25572,-0.041401,100.22,4.6587,-0.27558,-0.14906,23487.0,94.881,-1.6916,1.0194,0.25995,3.9985,91.285,0.0,69.164,-0.19355,40.86,-2228.6,3.8355,1.5926,9.8369,-0.054723,0.35025,0.51538,0.14666,0.98098,-0.06779,-0.05221,0.18554,0.214,-0.05221,1.3347,0.214,-0.062636,0.35025,0.61097,-0.16378,2.4714,2.4714,3.8469,1.4353,2.3791,-0.0434,-0.051287,96.721,0
74,88.016,0.1324,0.048529,154.38,4.8603,0.085381,0.21672,15164.0,116.46,0.21952,0.91678,0.31906,4.9534,73.686,0.013698,-27.265,0.20691,4.5234,981.82,0.52269,1.2233,3.3374,0.064812,0.39736,0.20917,0.11789,1.0908,0.080831,0.086115,0.14072,0.48952,0.086115,1.3663,0.49623,0.019223,0.39066,1.2319,0.37176,1.5095,1.5354,3.1342,0.089488,0.77965,0.11061,0.060523,106.77,0
75,43.129,0.063306,0.084169,171.42,4.7626,0.18903,0.092673,2557.1,423.17,0.78602,0.90625,1.1594,2.7581,132.34,0.0,-1.4944,0.098605,9.3386,2029.4,0.085852,1.0853,0.81631,0.035352,0.4413,0.044173,0.085219,1.1034,0.043515,0.040897,0.10759,0.55843,0.040897,0.45569,0.55843,0.005042,0.4413,1.2654,0.17985,1.1001,1.1001,0.86253,0.6531,0.99818,0.18897,0.1036,383.5,0
78,9.5976,0.0,0.090685,117.44,5.2446,0.079197,2.2653,2.4774,124.03,4.0597,0.83383,0.33534,3.3399,109.29,0.13443,6.4534,0.39967,44.767,969.81,1.2386,1.9733,2.9428,0.086734,0.35868,0.40254,0.08568,0.95643,0.14771,0.12487,0.0,0.63107,0.15464,0.95643,0.72754,0.098771,0.27246,1.788,0.37636,1.8819,2.4774,2.9821,1.348,2.399,0.14114,0.11386,103.98,0
79,11.882,0.017658,0.004919,58.283,4.0624,0.075537,0.072431,4262.4,30.737,0.1519,0.99483,0.08421,7.8559,46.462,0.0,47.755,0.087759,30.877,810.09,0.83634,1.427,5.1221,0.011123,0.18941,0.36917,0.011123,1.0052,0.016622,0.013719,0.016622,0.62991,0.013719,2.2706,0.62991,-0.055,0.18941,3.3256,0.45056,2.9491,2.9491,11.875,1.043,2.5625,0.037746,0.007352,30.578,0
80,0.011825,0.17161,0.075598,52.28,5.0124,0.032842,0.68797,22666.0,61.013,2603.8,0.89621,0.16716,6.983,52.27,0.0,1.4092,0.64196,34443.0,382.17,0.40862,1.313,2.9805,0.12146,0.24069,0.22026,0.38723,1.1158,0.15451,0.16559,0.48064,0.70775,0.16559,1.6292,0.70775,0.090226,0.24069,2.9405,0.95506,1.9151,1.9151,5.9823,0.95904,1.915,0.14308,0.096172,54.68,0
81,113.29,0.13865,0.078574,179.94,4.6742,0.073469,0.35774,14161.0,100.52,0.28464,0.88934,0.27541,4.6099,79.178,0.10575,-7.1206,0.39173,3.6225,902.39,0.70087,1.4728,2.599,0.087366,0.33897,0.29984,0.31729,1.1244,0.10668,0.12126,0.39141,0.6301,0.12126,1.1188,0.69673,0.09084,0.27234,1.8588,0.40448,1.688,2.101,3.6309,0.088304,0.97396,0.12331,0.095948,89.401,0
84,89.4,0.0,0.074209,176.07,5.2039,0.07991,2.2538,2.5204,141.82,0.46218,0.64396,0.37556,3.1074,117.46,0.067178,44.75,0.39207,6.2281,871.66,1.1149,1.9805,2.9785,0.077604,0.30417,0.39144,0.086884,1.0457,0.10801,0.10045,0.0,0.6069,0.38315,1.0457,0.74207,0.074027,0.25746,2.2861,0.41874,2.1333,2.5204,2.6627,0.56107,1.8682,0.1218,0.096526,89.861,0
85,30.81,0.44847,0.14807,65.232,4.2964,0.09018,0.35869,-275.88,87.818,1.939,0.90465,0.2406,9.77,37.359,0.14381,-33.963,0.7553,13.095,583.14,-0.021438,0.84817,2.569,0.24737,0.44295,-0.013942,0.47229,1.1054,0.27464,0.15888,0.49189,0.55158,0.15888,1.8073,0.6309,0.15627,0.36362,1.2452,0.62592,0.78945,0.96166,4.1563,0.14056,0.61081,0.16595,0.1644,79.445,0
86,58.801,0.25537,0.049621,172.13,4.6637,0.15304,0.18576,12830.0,124.0,0.3319,0.92805,0.33973,3.1049,117.56,0.199,6.5078,0.20144,6.6886,1750.6,1.4304,1.6694,8.5914,0.082955,0.59173,0.27833,0.1953,1.0775,0.10618,0.10992,0.2505,0.32485,0.10992,1.7014,0.38949,0.092724,0.52708,0.54898,0.2085,1.3611,1.5281,2.9435,0.032341,1.0539,0.073798,0.063512,115.08,0
87,91.606,-0.15874,0.011679,189.3,4.1606,0.88965,0.011078,1317.7,172.87,0.046935,0.99146,0.47362,3.7064,98.48,-9.8351,-55.122,0.033631,4.0188,9332.0,0.18529,-0.13314,1.8097,0.010386,1.061,0.091047,0.010386,1.0086,0.014043,0.011754,0.014043,-0.065423,0.011754,0.92814,0.57802,-0.015702,0.41757,-0.061661,0.039113,0.47937,1.218,2.1114,0.11356,0.68813,0.046668,0.015792,171.4,0
89,46.355,0.090458,0.010617,106.12,5.3699,0.19423,0.10743,49293.0,79.923,0.086693,0.96427,0.21897,5.9427,61.42,0.41121,-14.73,0.07446,8.1658,2981.0,0.79842,1.1105,9.4616,0.026461,0.64655,0.21032,0.078304,1.037,0.039185,0.06946,0.1132,0.29252,0.06946,2.5055,0.41281,0.029481,0.52626,0.45244,0.12244,1.1393,1.3997,4.5669,0.022706,0.81967,0.031762,0.015722,77.068,0
91,73.023,0.031819,0.007956,160.87,5.8343,0.59121,0.017129,-10735.0,171.55,0.04047,0.98259,0.47001,4.0956,89.12,1.262,-81.363,0.020016,5.0869,7246.3,-0.027769,0.4298,1.7191,0.007744,0.75664,-0.015723,0.000978,1.0177,0.008997,0.012961,0.001754,0.24336,0.012961,0.99828,0.55049,-0.016155,0.44951,0.32163,0.050371,0.57331,0.96502,2.1276,0.010668,0.53936,0.039157,0.009244,168.57,0
92,46.242,0.28632,0.064625,109.44,4.3228,0.12044,0.19251,-2359.9,152.26,0.53645,0.95088,0.41715,5.5753,65.467,0.0,-81.284,0.16292,8.3011,1499.7,-0.19446,0.5276,2.3375,0.08718,0.53511,-0.11223,0.072717,1.0517,0.08718,0.10301,0.072717,0.30449,0.10301,1.4022,0.30449,0.059957,0.53511,0.56902,0.24338,0.79027,0.79027,2.3972,0.03439,0.48657,0.096539,0.064625,144.78,0
93,90.015,0.49885,0.42746,306.58,4.0037,0.011456,2.5352,6638.3,66.364,1.8134,0.95585,0.18182,1.655,220.54,0.035914,190.13,2.9633,4.2422,127.98,3.6435,4.3956,5.1296,0.39616,0.18959,0.65827,0.56657,1.0462,0.47728,0.48064,0.65632,0.79415,0.48064,1.3848,0.82267,0.41721,0.16106,4.1889,2.8521,4.3217,5.087,5.5,0.25393,3.7306,0.58343,0.51499,63.434,0
94,59.262,0.088603,0.055734,103.6,4.49,0.034651,0.61147,11005.0,47.501,0.37203,0.9227,0.13014,7.4607,48.923,0.0,61.973,0.58151,6.675,397.25,0.70844,1.4718,2.3398,0.06555,0.14123,0.35611,0.18359,1.0838,0.082127,0.086357,0.23043,0.73982,0.086357,1.1965,0.73982,0.038718,0.14123,5.2384,0.91883,3.5215,3.5215,7.684,1.1576,2.2739,0.11033,0.069828,43.829,0
96,47.241,0.53584,0.1512,96.35,4.3874,0.042427,0.77266,12949.0,108.62,1.4478,0.80693,0.2976,6.2683,58.23,0.0,86.155,0.62964,9.5749,577.64,55.383,56.383,199.81,0.28948,0.45976,0.53066,0.3321,1.2393,0.28948,0.35524,0.3321,0.54024,0.35524,1.9205,0.54024,0.35421,0.45976,1.175,0.63188,2.1542,2.1542,3.3602,1.055,1.7193,0.15174,0.1512,87.653,0
99,103.1,-0.011729,-0.009438,197.24,5.3423,-77.791,-0.033843,82262.0,188.82,-0.032811,1.0184,0.5173,3.9565,92.252,0.00263,76.769,-0.012891,3.4765,17734.0,1.5845,2.5225,3.1348,-0.006985,0.39142,0.37406,-0.006985,0.98198,-0.005026,-0.013247,-0.005026,0.5955,-0.013247,0.75192,0.59706,-0.026329,0.38986,1.5214,0.020581,1.9516,1.9595,1.9331,0.93368,1.4135,0.010886,-0.006791,192.28,0
101,23.858,-0.002212,-0.001777,105.99,5.3637,0.065667,0.020262,122170.0,86.82,-0.027064,1.0043,0.23786,4.4495,82.032,0.0,22.922,-0.005623,15.233,768.78,2.0769,2.8607,3.5622,-0.001611,0.21665,0.52875,-0.0975,0.99568,-0.001218,0.00439,-0.093003,0.72832,0.00439,0.93563,0.72832,-0.099691,0.21665,3.3617,0.47478,3.4405,3.4405,4.2041,2.225,3.1657,0.11342,-0.001343,87.197,0
102,45.258,0.046664,-0.014242,127.19,5.2586,-7.8773,-0.020514,-59804.0,193.62,-0.11342,1.0127,0.53046,4.4864,81.357,-0.54529,-100.72,-0.026512,7.9637,-93562.0,-1.7978,-3.5511,11.635,-0.030391,1.5015,-0.32972,-0.30101,0.98745,-0.030391,-0.030801,-0.30101,-0.65128,-0.030801,2.1825,-0.29614,-0.055335,1.1463,-0.43377,-0.003901,0.54387,0.71237,1.8852,0.063687,0.47861,-0.002745,-0.014242,196.08,0
